glasses_id,frame_shape,frame_size,frame_material,lens_degree_min,lens_degree_max,lens_refractive_index,price,image_url
G001,长方形,56-16-144,TR90,-6.00,-0.25,1.56,349,/static/glasses/G001.svg
G002,猫眼形,51-21-139,复合板材,-8.00,-0.50,1.56,519,/static/glasses/G002.svg
G003,长方形,51-16-144,板材,-12.00,-1.00,1.67,529,/static/glasses/G003.svg
G004,圆形,53-18-141,板材,-10.00,-0.50,1.74,559,/static/glasses/G004.svg
G005,猫眼形,50-20-141,复合板材,-12.00,-1.00,1.67,599,/static/glasses/G005.svg
G006,圆形,53-16-141,板材,-10.00,-0.50,1.74,369,/static/glasses/G006.svg
G007,长方形,49-17-147,金属,-8.00,-0.50,1.74,569,/static/glasses/G007.svg
G008,鹅蛋形,54-21-145,纯钛,-6.00,-0.25,1.56,749,/static/glasses/G008.svg
G009,圆形,54-20-144,纯钛,-8.00,-0.50,1.6,749,/static/glasses/G009.svg
G010,方形,49-16-139,钛合金,-6.00,-0.25,1.56,769,/static/glasses/G010.svg
G011,鹅蛋形,49-19-144,复合板材,-6.00,-0.25,1.6,639,/static/glasses/G011.svg
G012,方形,56-16-148,钛合金,-8.00,-0.50,1.67,1299,/static/glasses/G012.svg
G013,多边形,53-16-142,钛合金,-8.00,-0.50,1.67,1069,/static/glasses/G013.svg
G014,长方形,56-17-146,TR90,-8.00,-0.50,1.74,519,/static/glasses/G014.svg
G015,圆形,50-18-140,板材,-10.00,-0.50,1.74,599,/static/glasses/G015.svg
G016,鹅蛋形,53-19-138,钛合金,-12.00,-1.00,1.67,979,/static/glasses/G016.svg
G017,长方形,48-17-147,板材,-10.00,-0.50,1.74,249,/static/glasses/G017.svg
G018,多边形,49-20-140,复合板材,-6.00,-0.25,1.56,649,/static/glasses/G018.svg
G019,猫眼形,52-20-147,钛合金,-10.00,-0.50,1.74,819,/static/glasses/G019.svg
G020,长方形,52-19-148,钛合金,-10.00,-0.50,1.74,1049,/static/glasses/G020.svg
G021,多边形,49-17-141,钛合金,-6.00,-0.25,1.56,629,/static/glasses/G021.svg
G022,鹅蛋形,51-16-139,钛合金,-10.00,-0.50,1.74,659,/static/glasses/G022.svg
G023,鹅蛋形,48-18-139,纯钛,-12.00,-1.00,1.74,889,/static/glasses/G023.svg
G024,长方形,51-20-140,复合板材,-6.00,-0.25,1.6,859,/static/glasses/G024.svg
G025,猫眼形,51-19-144,钛合金,-6.00,-0.25,1.56,699,/static/glasses/G025.svg
G026,猫眼形,53-19-144,复合板材,-6.00,-0.25,1.56,779,/static/glasses/G026.svg
G027,多边形,48-19-143,TR90,-12.00,-1.00,1.74,259,/static/glasses/G027.svg
G028,多边形,51-20-145,纯钛,-10.00,-0.50,1.67,789,/static/glasses/G028.svg
G029,方形,51-16-145,板材,-6.00,-0.25,1.67,489,/static/glasses/G029.svg
G030,猫眼形,56-16-139,TR90,-12.00,-1.00,1.74,329,/static/glasses/G030.svg
G031,猫眼形,55-19-141,纯钛,-6.00,-0.25,1.67,659,/static/glasses/G031.svg
G032,多边形,48-19-142,纯钛,-6.00,-0.25,1.67,1069,/static/glasses/G032.svg
G033,圆形,56-21-145,板材,-6.00,-0.25,1.56,359,/static/glasses/G033.svg
G034,鹅蛋形,56-16-143,纯钛,-12.00,-1.00,1.6,1199,/static/glasses/G034.svg
G035,多边形,48-20-139,金属,-10.00,-0.50,1.74,439,/static/glasses/G035.svg
G036,方形,51-19-139,钛合金,-12.00,-1.00,1.74,1189,/static/glasses/G036.svg
G037,长方形,49-19-148,纯钛,-12.00,-1.00,1.74,1139,/static/glasses/G037.svg
G038,鹅蛋形,51-21-143,板材,-8.00,-0.50,1.6,409,/static/glasses/G038.svg
G039,方形,55-18-139,纯钛,-8.00,-0.50,1.56,1239,/static/glasses/G039.svg
G040,鹅蛋形,49-20-141,钛合金,-12.00,-1.00,1.74,739,/static/glasses/G040.svg
G041,方形,51-18-142,板材,-12.00,-1.00,1.67,479,/static/glasses/G041.svg
G042,圆形,56-16-148,复合板材,-8.00,-0.50,1.74,559,/static/glasses/G042.svg
G043,圆形,50-18-139,复合板材,-12.00,-1.00,1.74,779,/static/glasses/G043.svg
G044,圆形,52-18-147,钛合金,-10.00,-0.50,1.67,959,/static/glasses/G044.svg
G045,猫眼形,56-19-142,纯钛,-8.00,-0.50,1.74,659,/static/glasses/G045.svg
G046,方形,52-16-138,TR90,-6.00,-0.25,1.56,269,/static/glasses/G046.svg
G047,方形,50-21-145,复合板材,-8.00,-0.50,1.67,619,/static/glasses/G047.svg
G048,多边形,49-16-140,钛合金,-12.00,-1.00,1.74,979,/static/glasses/G048.svg
